dot,old
partnership.sex.transmission.MTF.5,
partnership.sex.transmission.MTF.5.prob,
partnership.needle,
partnership.needle.duration,needleDurations
partnership.needle.duration.1,
partnership.needle.duration.1.prob,
partnership.needle.duration.1.min,
partnership.needle.duration.1.max,
partnership.needle.frequency,needleFrequency
partnership.needle.frequency.1,
partnership.needle.frequency.1.prob,
partnership.needle.frequency.1.min,
partnership.needle.frequency.1.max,
partnership.needle.transmission,NeedleTrans
partnership.needle.transmission.0,
partnership.needle.transmission.0.prob,
partnership.needle.transmission.1,
partnership.needle.transmission.1.prob,
partnership.needle.transmission.2,
partnership.needle.transmission.2.prob,
partnership.needle.transmission.3,
partnership.needle.transmission.3.prob,
partnership.needle.transmission.4,
partnership.needle.transmission.4.prob,
partnership.needle.transmission.5,
partnership.needle.transmission.5.prob,
partnership.interaction,
partnership.interaction.sexualOnly,
partnership.interaction.sexualOnly.1,
partnership.interaction.sexualOnly.1.prob,
partnership.interaction.sexualOnly.1.min,
partnership.interaction.sexualOnly.1.max,
partnership.interaction.sexualOnly.2,
partnership.interaction.sexualOnly.2.prob,
partnership.interaction.sexualOnly.2.min,
partnership.interaction.sexualOnly.2.max,
partnership.interaction.sexualOnly.3,
partnership.interaction.sexualOnly.3.prob,
partnership.interaction.sexualOnly.3.min,
partnership.interaction.sexualOnly.3.max,
partnership.interaction.sexualOnly.4,
partnership.interaction.sexualOnly.4.prob,
partnership.interaction.sexualOnly.4.min,
partnership.interaction.sexualOnly.4.max,
partnership.interaction.sexualOnly.5,
partnership.interaction.sexualOnly.5.prob,
partnership.interaction.sexualOnly.5.min,
partnership.interaction.sexualOnly.5.max,
partnership.interaction.sexualOnly.6,
partnership.interaction.sexualOnly.6.prob,
partnership.interaction.sexualOnly.6.min,
partnership.interaction.sexualOnly.6.max,
partnership.interaction.multiplex,
partnership.interaction.multiplex.1,
partnership.interaction.multiplex.1.prob,
partnership.interaction.multiplex.1.min,
partnership.interaction.multiplex.1.max,
partnership.interaction.multiplex.2,
partnership.interaction.multiplex.2.prob,
partnership.interaction.multiplex.2.min,
partnership.interaction.multiplex.2.max,
partnership.interaction.multiplex.3,
partnership.interaction.multiplex.3.prob,
partnership.interaction.multiplex.3.min,
partnership.interaction.multiplex.3.max,
partnership.interaction.multiplex.4,
partnership.interaction.multiplex.4.prob,
partnership.interaction.multiplex.4.min,
partnership.interaction.multiplex.4.max,
partnership.interaction.multiplex.5,
partnership.interaction.multiplex.5.prob,
partnership.interaction.multiplex.5.min,
partnership.interaction.multiplex.5.max,
partnership.interaction.multiplex.6,
partnership.interaction.multiplex.6.prob,
partnership.interaction.multiplex.6.min,
partnership.interaction.multiplex.6.max,
partnership.interaction.social,
partnership.interaction.social.1,
partnership.interaction.social.1.prob,
partnership.interaction.social.1.min,
partnership.interaction.social.1.max,
partnership.interaction.social.2,
partnership.interaction.social.2.prob,
partnership.interaction.social.2.min,
partnership.interaction.social.2.max,
partnership.interaction.social.3,
partnership.interaction.social.3.prob,
partnership.interaction.social.3.min,
partnership.interaction.social.3.max,
partnership.interaction.social.4,
partnership.interaction.social.4.prob,
partnership.interaction.social.4.min,
partnership.interaction.social.4.max,
partnership.interaction.social.5,
partnership.interaction.social.5.prob,
partnership.interaction.social.5.min,
partnership.interaction.social.5.max,
partnership.interaction.social.6,
partnership.interaction.social.6.prob,
partnership.interaction.social.6.min,
partnership.interaction.social.6.max,
partnership.bond,
partnership.bond.type,
partnership.bond.type.PWID,
partnership.bond.type.PWID.social,
partnership.bond.type.PWID.multiplex,
partnership.bond.type.PWID.sexualOnly,
partnership.bond.type.general,
partnership.bond.type.general.social,
partnership.bond.type.general.multiplex,
partnership.bond.type.general.sexualOnly,
incar,
incar.hiv,
incar.hiv.dx,
incar.haart,
incar.haart.prob,inc_ARTenroll
incar.haart.adherence,inc_ARTadh
incar.haart.discontinue,inc_ARTdisc
assort_mix,
assort_mix.type,AssortMixType
assort_mix.coefficient,AssortMixCoeff
features,
features.incar,flag_incar
features.prep,flag_PrEP
features.high_risk,flag_HR
features.haart,flag_ART
features.die_and_replace,flag_DandR
features.static_n,flag_staticN
features.agent_zero,flag_agentZero
features.assort_mix,flag_AssortativeMix
features.vaccine,
features.partner_tracing,
features.msmw,
features.pca,flag_PCA
needle_exchange,
needle_exchange.prevalence,safeNeedleExchangePrev
needle_exchange.coverage,treatmentCov
needle_exchange.init_at_pop,initTreatment
demographics,DemographicParams
PWID,
PWID.ppl,
PWID.hiv,
PWID.hiv.init,
PWID.hiv.dx,
PWID.hiv.dx.init,
PWID.hiv.dx.prob,
PWID.aids,
PWID.aids.init,
PWID.haart,
PWID.haart.init,
PWID.haart.prob,
PWID.haart.adherence,
PWID.haart.discontinue,
PWID.incar,
PWID.incar.init,
PWID.incar.prob,
PWID.num_partners,
PWID.num_needle_acts,
PWID.safe_sex,
PWID.needle_sharing,
PWID.prep,
PWID.prep.discontinue,PrEP_disc
PWID.prep.adherence,PrEP_Adherence
PWID.prep.coverage,
PWID.high_risk,
PWID.high_risk.init,
PWID.vaccine,
PWID.vaccine.init,
PWID.vaccine.prob,
PWID.vaccine.booster,flag_booster
PWID.vaccine.booster.interval,
PWID.vaccine.booster.prob,
PWID.assort_mix,
PWID.assort_mix.coefficient,AssortMixCoeff
PWID.age,
PWID.age.1,
PWID.age.1.prob,
PWID.age.1.min,
PWID.age.1.max,
PWID.age.2,
PWID.age.2.prob,
PWID.age.2.min,
PWID.age.2.max,
PWID.age.3,
PWID.age.3.prob,
PWID.age.3.min,
PWID.age.3.max,
PWID.age.4,
PWID.age.4.prob,
PWID.age.4.min,
PWID.age.4.max,
PWID.age.5,
PWID.age.5.prob,
PWID.age.5.min,
PWID.age.5.max,
MSM,
MSM.ppl,
MSM.hiv,
MSM.hiv.init,
MSM.hiv.dx,
MSM.hiv.dx.init,
MSM.hiv.dx.prob,
MSM.aids,
MSM.aids.init,
MSM.haart,
MSM.haart.init,
MSM.haart.prob,
MSM.haart.adherence,
MSM.haart.discontinue,
MSM.incar,
MSM.incar.init,
MSM.incar.prob,
MSM.num_partners,
MSM.num_needle_acts,
MSM.safe_sex,
MSM.needle_sharing,
MSM.prep,
MSM.prep.discontinue,PrEP_disc
MSM.prep.adherence,PrEP_Adherence
MSM.prep.coverage,
MSM.high_risk,
MSM.high_risk.init,
MSM.vaccine,
MSM.vaccine.init,
MSM.vaccine.prob,
MSM.vaccine.booster,flag_booster
MSM.vaccine.booster.interval,
MSM.vaccine.booster.prob,
MSM.assort_mix,
MSM.assort_mix.coefficient,AssortMixCoeff
MSM.age,
MSM.age.1,
MSM.age.1.prob,
MSM.age.1.min,
MSM.age.1.max,
MSM.age.2,
MSM.age.2.prob,
MSM.age.2.min,
MSM.age.2.max,
MSM.age.3,
MSM.age.3.prob,
MSM.age.3.min,
MSM.age.3.max,
MSM.age.4,
MSM.age.4.prob,
MSM.age.4.min,
MSM.age.4.max,
MSM.age.5,
MSM.age.5.prob,
MSM.age.5.min,
MSM.age.5.max,
HM,
HM.ppl,
HM.hiv,
HM.hiv.init,
HM.hiv.dx,
HM.hiv.dx.init,
HM.hiv.dx.prob,
HM.aids,
HM.aids.init,
HM.haart,
HM.haart.init,
HM.haart.prob,
HM.haart.adherence,
HM.haart.discontinue,
HM.incar,
HM.incar.init,
HM.incar.prob,
HM.num_partners,
HM.num_needle_acts,
HM.safe_sex,
HM.needle_sharing,
HM.prep,
HM.prep.discontinue,PrEP_disc
HM.prep.adherence,PrEP_Adherence
HM.prep.coverage,
HM.high_risk,
HM.high_risk.init,
HM.vaccine,
HM.vaccine.init,
HM.vaccine.prob,
HM.vaccine.booster,flag_booster
HM.vaccine.booster.interval,
HM.vaccine.booster.prob,
HM.assort_mix,
HM.assort_mix.coefficient,AssortMixCoeff
HM.age,
HM.age.1,
HM.age.1.prob,
HM.age.1.min,
HM.age.1.max,
HM.age.2,
HM.age.2.prob,
HM.age.2.min,
HM.age.2.max,
HM.age.3,
HM.age.3.prob,
HM.age.3.min,
HM.age.3.max,
HM.age.4,
HM.age.4.prob,
HM.age.4.min,
HM.age.4.max,
HM.age.5,
HM.age.5.prob,
HM.age.5.min,
HM.age.5.max,
HF,
HF.ppl,
HF.hiv,
HF.hiv.init,
HF.hiv.dx,
HF.hiv.dx.init,
HF.hiv.dx.prob,
HF.aids,
HF.aids.init,
HF.haart,
HF.haart.init,
HF.haart.prob,
HF.haart.adherence,
HF.haart.discontinue,
HF.incar,
HF.incar.init,
HF.incar.prob,
HF.num_partners,
HF.num_needle_acts,
HF.safe_sex,
HF.needle_sharing,
HF.prep,
HF.prep.discontinue,PrEP_disc
HF.prep.adherence,PrEP_Adherence
HF.prep.coverage,
HF.high_risk,
HF.high_risk.init,
HF.vaccine,
HF.vaccine.init,
HF.vaccine.prob,
HF.vaccine.booster,flag_booster
HF.vaccine.booster.interval,
HF.vaccine.booster.prob,
HF.assort_mix,
HF.assort_mix.coefficient,AssortMixCoeff
HF.age,
HF.age.1,
HF.age.1.prob,
HF.age.1.min,
HF.age.1.max,
HF.age.2,
HF.age.2.prob,
HF.age.2.min,
HF.age.2.max,
HF.age.3,
HF.age.3.prob,
HF.age.3.min,
HF.age.3.max,
HF.age.4,
HF.age.4.prob,
HF.age.4.min,
HF.age.4.max,
HF.age.5,
HF.age.5.prob,
HF.age.5.min,
HF.age.5.max,
WSW,
WSW.ppl,
WSW.hiv,
WSW.hiv.init,
WSW.hiv.dx,
WSW.hiv.dx.init,
WSW.hiv.dx.prob,
WSW.aids,
WSW.aids.init,
WSW.haart,
WSW.haart.init,
WSW.haart.prob,
WSW.haart.adherence,
WSW.haart.discontinue,
WSW.incar,
WSW.incar.init,
WSW.incar.prob,
WSW.num_partners,
WSW.num_needle_acts,
WSW.safe_sex,
WSW.needle_sharing,
WSW.prep,
WSW.prep.discontinue,PrEP_disc
WSW.prep.adherence,PrEP_Adherence
WSW.prep.coverage,
WSW.high_risk,
WSW.high_risk.init,
WSW.vaccine,
WSW.vaccine.init,
WSW.vaccine.prob,
WSW.vaccine.booster,flag_booster
WSW.vaccine.booster.interval,
WSW.vaccine.booster.prob,
WSW.assort_mix,
WSW.assort_mix.coefficient,AssortMixCoeff
WSW.age,
WSW.age.1,
WSW.age.1.prob,
WSW.age.1.min,
WSW.age.1.max,
WSW.age.2,
WSW.age.2.prob,
WSW.age.2.min,
WSW.age.2.max,
WSW.age.3,
WSW.age.3.prob,
WSW.age.3.min,
WSW.age.3.max,
WSW.age.4,
WSW.age.4.prob,
WSW.age.4.min,
WSW.age.4.max,
WSW.age.5,
WSW.age.5.prob,
WSW.age.5.min,
WSW.age.5.max,
MTF,
MTF.ppl,
MTF.hiv,
MTF.hiv.init,
MTF.hiv.dx,
MTF.hiv.dx.init,
MTF.hiv.dx.prob,
MTF.aids,
MTF.aids.init,
MTF.haart,
MTF.haart.init,
MTF.haart.prob,
MTF.haart.adherence,
MTF.haart.discontinue,
MTF.incar,
MTF.incar.init,
MTF.incar.prob,
MTF.num_partners,
MTF.num_needle_acts,
MTF.safe_sex,
MTF.needle_sharing,
MTF.prep,
MTF.prep.discontinue,PrEP_disc
MTF.prep.adherence,PrEP_Adherence
MTF.prep.coverage,
MTF.high_risk,
MTF.high_risk.init,
MTF.vaccine,
MTF.vaccine.init,
MTF.vaccine.prob,
MTF.vaccine.booster,flag_booster
MTF.vaccine.booster.interval,
MTF.vaccine.booster.prob,
MTF.assort_mix,
MTF.assort_mix.coefficient,AssortMixCoeff
MTF.age,
MTF.age.1,
MTF.age.1.prob,
MTF.age.1.min,
MTF.age.1.max,
MTF.age.2,
MTF.age.2.prob,
MTF.age.2.min,
MTF.age.2.max,
MTF.age.3,
MTF.age.3.prob,
MTF.age.3.min,
MTF.age.3.max,
MTF.age.4,
MTF.age.4.prob,
MTF.age.4.min,
MTF.age.4.max,
MTF.age.5,
MTF.age.5.prob,
MTF.age.5.min,
MTF.age.5.max,
demographics.WHITE,
demographics.WHITE.ppl,
demographics.WHITE.hiv,
demographics.WHITE.hiv.init,
demographics.WHITE.hiv.dx,
demographics.WHITE.hiv.dx.init,
demographics.WHITE.hiv.dx.prob,
demographics.WHITE.aids,
demographics.WHITE.aids.init,
demographics.WHITE.haart,
demographics.WHITE.haart.init,
demographics.WHITE.haart.prob,
demographics.WHITE.haart.adherence,
demographics.WHITE.haart.discontinue,
demographics.WHITE.incar,
demographics.WHITE.incar.init,
demographics.WHITE.incar.prob,
demographics.WHITE.num_partners,
demographics.WHITE.num_needle_acts,
demographics.WHITE.safe_sex,
demographics.WHITE.needle_sharing,
demographics.WHITE.prep,
demographics.WHITE.prep.discontinue,PrEP_disc
demographics.WHITE.prep.adherence,PrEP_Adherence
demographics.WHITE.prep.coverage,
demographics.WHITE.high_risk,
demographics.WHITE.high_risk.init,
demographics.WHITE.vaccine,
demographics.WHITE.vaccine.init,
demographics.WHITE.vaccine.prob,
demographics.WHITE.vaccine.booster,flag_booster
demographics.WHITE.vaccine.booster.interval,
demographics.WHITE.vaccine.booster.prob,
demographics.WHITE.assort_mix,
demographics.WHITE.assort_mix.coefficient,AssortMixCoeff
demographics.WHITE.age,
demographics.WHITE.age.1,
demographics.WHITE.age.1.prob,
demographics.WHITE.age.1.min,
demographics.WHITE.age.1.max,
demographics.WHITE.age.2,
demographics.WHITE.age.2.prob,
demographics.WHITE.age.2.min,
demographics.WHITE.age.2.max,
demographics.WHITE.age.3,
demographics.WHITE.age.3.prob,
demographics.WHITE.age.3.min,
demographics.WHITE.age.3.max,
demographics.WHITE.age.4,
demographics.WHITE.age.4.prob,
demographics.WHITE.age.4.min,
demographics.WHITE.age.4.max,
demographics.WHITE.age.5,
demographics.WHITE.age.5.prob,
demographics.WHITE.age.5.min,
demographics.WHITE.age.5.max,
demographics.WHITE.PWID,
demographics.WHITE.PWID.ppl,
demographics.WHITE.PWID.hiv,
demographics.WHITE.PWID.hiv.init,
demographics.WHITE.PWID.hiv.dx,
demographics.WHITE.PWID.hiv.dx.init,
demographics.WHITE.PWID.hiv.dx.prob,
demographics.WHITE.PWID.aids,
demographics.WHITE.PWID.aids.init,
demographics.WHITE.PWID.haart,
demographics.WHITE.PWID.haart.init,
demographics.WHITE.PWID.haart.prob,
demographics.WHITE.PWID.haart.adherence,
demographics.WHITE.PWID.haart.discontinue,
demographics.WHITE.PWID.incar,
demographics.WHITE.PWID.incar.init,
demographics.WHITE.PWID.incar.prob,
demographics.WHITE.PWID.num_partners,
demographics.WHITE.PWID.num_needle_acts,
demographics.WHITE.PWID.safe_sex,
demographics.WHITE.PWID.needle_sharing,
demographics.WHITE.PWID.prep,
demographics.WHITE.PWID.prep.discontinue,PrEP_disc
demographics.WHITE.PWID.prep.adherence,PrEP_Adherence
demographics.WHITE.PWID.prep.coverage,
demographics.WHITE.PWID.high_risk,
demographics.WHITE.PWID.high_risk.init,
demographics.WHITE.PWID.vaccine,
demographics.WHITE.PWID.vaccine.init,
demographics.WHITE.PWID.vaccine.prob,
demographics.WHITE.PWID.vaccine.booster,flag_booster
demographics.WHITE.PWID.vaccine.booster.interval,
demographics.WHITE.PWID.vaccine.booster.prob,
demographics.WHITE.PWID.assort_mix,
demographics.WHITE.PWID.assort_mix.coefficient,AssortMixCoeff
demographics.WHITE.PWID.age,
demographics.WHITE.PWID.age.1,
demographics.WHITE.PWID.age.1.prob,
demographics.WHITE.PWID.age.1.min,
demographics.WHITE.PWID.age.1.max,
demographics.WHITE.PWID.age.2,
demographics.WHITE.PWID.age.2.prob,
demographics.WHITE.PWID.age.2.min,
demographics.WHITE.PWID.age.2.max,
demographics.WHITE.PWID.age.3,
demographics.WHITE.PWID.age.3.prob,
demographics.WHITE.PWID.age.3.min,
demographics.WHITE.PWID.age.3.max,
demographics.WHITE.PWID.age.4,
demographics.WHITE.PWID.age.4.prob,
demographics.WHITE.PWID.age.4.min,
demographics.WHITE.PWID.age.4.max,
demographics.WHITE.PWID.age.5,
demographics.WHITE.PWID.age.5.prob,
demographics.WHITE.PWID.age.5.min,
demographics.WHITE.PWID.age.5.max,
demographics.WHITE.MSM,
demographics.WHITE.MSM.ppl,
demographics.WHITE.MSM.hiv,
demographics.WHITE.MSM.hiv.init,
demographics.WHITE.MSM.hiv.dx,
demographics.WHITE.MSM.hiv.dx.init,
demographics.WHITE.MSM.hiv.dx.prob,
demographics.WHITE.MSM.aids,
demographics.WHITE.MSM.aids.init,
demographics.WHITE.MSM.haart,
demographics.WHITE.MSM.haart.init,
demographics.WHITE.MSM.haart.prob,
demographics.WHITE.MSM.haart.adherence,
demographics.WHITE.MSM.haart.discontinue,
demographics.WHITE.MSM.incar,
demographics.WHITE.MSM.incar.init,
demographics.WHITE.MSM.incar.prob,
demographics.WHITE.MSM.num_partners,
demographics.WHITE.MSM.num_needle_acts,
demographics.WHITE.MSM.safe_sex,
demographics.WHITE.MSM.needle_sharing,
demographics.WHITE.MSM.prep,
demographics.WHITE.MSM.prep.discontinue,PrEP_disc
demographics.WHITE.MSM.prep.adherence,PrEP_Adherence
demographics.WHITE.MSM.prep.coverage,
demographics.WHITE.MSM.high_risk,
demographics.WHITE.MSM.high_risk.init,
demographics.WHITE.MSM.vaccine,
demographics.WHITE.MSM.vaccine.init,
demographics.WHITE.MSM.vaccine.prob,
demographics.WHITE.MSM.vaccine.booster,flag_booster
demographics.WHITE.MSM.vaccine.booster.interval,
demographics.WHITE.MSM.vaccine.booster.prob,
demographics.WHITE.MSM.assort_mix,
demographics.WHITE.MSM.assort_mix.coefficient,AssortMixCoeff
demographics.WHITE.MSM.age,
demographics.WHITE.MSM.age.1,
demographics.WHITE.MSM.age.1.prob,
demographics.WHITE.MSM.age.1.min,
demographics.WHITE.MSM.age.1.max,
demographics.WHITE.MSM.age.2,
demographics.WHITE.MSM.age.2.prob,
demographics.WHITE.MSM.age.2.min,
demographics.WHITE.MSM.age.2.max,
demographics.WHITE.MSM.age.3,
demographics.WHITE.MSM.age.3.prob,
demographics.WHITE.MSM.age.3.min,
demographics.WHITE.MSM.age.3.max,
demographics.WHITE.MSM.age.4,
demographics.WHITE.MSM.age.4.prob,
demographics.WHITE.MSM.age.4.min,
demographics.WHITE.MSM.age.4.max,
demographics.WHITE.MSM.age.5,
demographics.WHITE.MSM.age.5.prob,
demographics.WHITE.MSM.age.5.min,
demographics.WHITE.MSM.age.5.max,
demographics.WHITE.HM,
demographics.WHITE.HM.ppl,
demographics.WHITE.HM.hiv,
demographics.WHITE.HM.hiv.init,
demographics.WHITE.HM.hiv.dx,
demographics.WHITE.HM.hiv.dx.init,
demographics.WHITE.HM.hiv.dx.prob,
demographics.WHITE.HM.aids,
demographics.WHITE.HM.aids.init,
demographics.WHITE.HM.haart,
demographics.WHITE.HM.haart.init,
demographics.WHITE.HM.haart.prob,
demographics.WHITE.HM.haart.adherence,
demographics.WHITE.HM.haart.discontinue,
demographics.WHITE.HM.incar,
demographics.WHITE.HM.incar.init,
demographics.WHITE.HM.incar.prob,
demographics.WHITE.HM.num_partners,
demographics.WHITE.HM.num_needle_acts,
demographics.WHITE.HM.safe_sex,
demographics.WHITE.HM.needle_sharing,
demographics.WHITE.HM.prep,
demographics.WHITE.HM.prep.discontinue,PrEP_disc
demographics.WHITE.HM.prep.adherence,PrEP_Adherence
demographics.WHITE.HM.prep.coverage,
demographics.WHITE.HM.high_risk,
demographics.WHITE.HM.high_risk.init,
demographics.WHITE.HM.vaccine,
demographics.WHITE.HM.vaccine.init,
demographics.WHITE.HM.vaccine.prob,
demographics.WHITE.HM.vaccine.booster,flag_booster
demographics.WHITE.HM.vaccine.booster.interval,
demographics.WHITE.HM.vaccine.booster.prob,
demographics.WHITE.HM.assort_mix,
demographics.WHITE.HM.assort_mix.coefficient,AssortMixCoeff
demographics.WHITE.HM.age,
demographics.WHITE.HM.age.1,
demographics.WHITE.HM.age.1.prob,
demographics.WHITE.HM.age.1.min,
demographics.WHITE.HM.age.1.max,
demographics.WHITE.HM.age.2,
demographics.WHITE.HM.age.2.prob,
demographics.WHITE.HM.age.2.min,
demographics.WHITE.HM.age.2.max,
demographics.WHITE.HM.age.3,
demographics.WHITE.HM.age.3.prob,
demographics.WHITE.HM.age.3.min,
demographics.WHITE.HM.age.3.max,
demographics.WHITE.HM.age.4,
demographics.WHITE.HM.age.4.prob,
