dot,old
partnership.sex.frequency.2,
partnership.sex.frequency.2.prob,
partnership.sex.frequency.2.min,
partnership.sex.frequency.2.max,
partnership.sex.frequency.3,
partnership.sex.frequency.3.prob,
partnership.sex.frequency.3.min,
partnership.sex.frequency.3.max,
partnership.sex.frequency.4,
partnership.sex.frequency.4.prob,
partnership.sex.frequency.4.min,
partnership.sex.frequency.4.max,
partnership.sex.frequency.5,
partnership.sex.frequency.5.prob,
partnership.sex.frequency.5.min,
partnership.sex.frequency.5.max,
partnership.sex.transmission,
partnership.sex.transmission.MSM,
partnership.sex.transmission.MSM.0,
partnership.sex.transmission.MSM.0.prob,
partnership.sex.transmission.MSM.1,
partnership.sex.transmission.MSM.1.prob,
partnership.sex.transmission.MSM.2,
partnership.sex.transmission.MSM.2.prob,
partnership.sex.transmission.MSM.3,
partnership.sex.transmission.MSM.3.prob,
partnership.sex.transmission.MSM.4,
partnership.sex.transmission.MSM.4.prob,
partnership.sex.transmission.MSM.5,
partnership.sex.transmission.MSM.5.prob,
partnership.needle,
partnership.needle.duration,
partnership.needle.duration.1,
partnership.needle.duration.1.prob,
partnership.needle.duration.1.min,
partnership.needle.duration.1.max,
partnership.needle.frequency,
partnership.needle.frequency.1,
partnership.needle.frequency.1.prob,
partnership.needle.frequency.1.min,
partnership.needle.frequency.1.max,
partnership.needle.transmission,
partnership.needle.transmission.0,
partnership.needle.transmission.0.prob,
partnership.needle.transmission.1,
partnership.needle.transmission.1.prob,
partnership.needle.transmission.2,
partnership.needle.transmission.2.prob,
partnership.needle.transmission.3,
partnership.needle.transmission.3.prob,
partnership.needle.transmission.4,
partnership.needle.transmission.4.prob,
partnership.needle.transmission.5,
partnership.needle.transmission.5.prob,
incar,
incar.hiv_tested,inc_PrisTestProb
incar.haart,
incar.haart.prob,inc_ARTenroll
incar.haart.adherence,inc_ARTadh
incar.haart.discontinue,inc_ARTdisc
incar.treatment,
incar.treatment.start,inc_treatment_startdate
incar.treatment.duration,inc_treatment_dur
incar.treatment.high_risk,inc_treat_HRsex_beh
incar.treatment.idu,inc_treat_IDU_beh
incar.treatment.ric,inc_treat_RIC
features,
features.incar,flag_incar
features.prep,flag_PrEP
features.high_risk,flag_HR
features.haart,flag_ART
features.die_and_replace,flag_DandR
features.static_n,flag_staticN
features.agent_zero,flag_agentZero
features.assort_mix,flag_AssortativeMix
features.vaccine,
demographics,
demographics.BLACK,
demographics.BLACK.prop,
demographics.BLACK.hiv,
demographics.BLACK.hiv.init,
demographics.BLACK.aids,
demographics.BLACK.aids.init,
demographics.BLACK.haart,
demographics.BLACK.haart.init,
demographics.BLACK.haart.prob,
demographics.BLACK.haart.adherence,
demographics.BLACK.haart.discontinue,
demographics.BLACK.incar,
demographics.BLACK.incar.init,
demographics.BLACK.incar.prob,
demographics.BLACK.tested,
demographics.BLACK.tested.init,
demographics.BLACK.tested.prob,
demographics.BLACK.num_partners,
demographics.BLACK.num_needle_acts,
demographics.BLACK.safe_sex,
demographics.BLACK.needle_sharing,
demographics.BLACK.prep,
demographics.BLACK.prep.discontinue,
demographics.BLACK.prep.adherence,
demographics.BLACK.prep.coverage,
demographics.BLACK.high_risk,
demographics.BLACK.high_risk.init,
demographics.BLACK.vaccine,
demographics.BLACK.vaccine.init,
demographics.BLACK.vaccine.prob,
demographics.BLACK.vaccine.booster,
demographics.BLACK.vaccine.booster.interval,
demographics.BLACK.vaccine.booster.prob,
demographics.BLACK.assort_mix,
demographics.BLACK.assort_mix.coefficient,
demographics.BLACK.age,
demographics.BLACK.age.1,
demographics.BLACK.age.1.prob,
demographics.BLACK.age.1.min,
demographics.BLACK.age.1.max,
demographics.BLACK.age.2,
demographics.BLACK.age.2.prob,
demographics.BLACK.age.2.min,
demographics.BLACK.age.2.max,
demographics.BLACK.age.3,
demographics.BLACK.age.3.prob,
demographics.BLACK.age.3.min,
demographics.BLACK.age.3.max,
demographics.BLACK.age.4,
demographics.BLACK.age.4.prob,
demographics.BLACK.age.4.min,
demographics.BLACK.age.4.max,
demographics.BLACK.age.5,
demographics.BLACK.age.5.prob,
demographics.BLACK.age.5.min,
demographics.BLACK.age.5.max,
demographics.BLACK.IDU,
demographics.BLACK.IDU.prop,
demographics.BLACK.IDU.hiv,
demographics.BLACK.IDU.hiv.init,
demographics.BLACK.IDU.aids,
demographics.BLACK.IDU.aids.init,
demographics.BLACK.IDU.haart,
demographics.BLACK.IDU.haart.init,
demographics.BLACK.IDU.haart.prob,
demographics.BLACK.IDU.haart.adherence,
demographics.BLACK.IDU.haart.discontinue,
demographics.BLACK.IDU.incar,
demographics.BLACK.IDU.incar.init,
demographics.BLACK.IDU.incar.prob,
demographics.BLACK.IDU.tested,
demographics.BLACK.IDU.tested.init,
demographics.BLACK.IDU.tested.prob,
demographics.BLACK.IDU.num_partners,
demographics.BLACK.IDU.num_needle_acts,
demographics.BLACK.IDU.safe_sex,
demographics.BLACK.IDU.needle_sharing,
demographics.BLACK.IDU.prep,
demographics.BLACK.IDU.prep.discontinue,
demographics.BLACK.IDU.prep.adherence,
demographics.BLACK.IDU.prep.coverage,
demographics.BLACK.IDU.high_risk,
demographics.BLACK.IDU.high_risk.init,
demographics.BLACK.IDU.vaccine,
demographics.BLACK.IDU.vaccine.init,
demographics.BLACK.IDU.vaccine.prob,
demographics.BLACK.IDU.vaccine.booster,
demographics.BLACK.IDU.vaccine.booster.interval,
demographics.BLACK.IDU.vaccine.booster.prob,
demographics.BLACK.IDU.assort_mix,
demographics.BLACK.IDU.assort_mix.coefficient,
demographics.BLACK.IDU.age,
demographics.BLACK.IDU.age.1,
demographics.BLACK.IDU.age.1.prob,
demographics.BLACK.IDU.age.1.min,
demographics.BLACK.IDU.age.1.max,
demographics.BLACK.IDU.age.2,
demographics.BLACK.IDU.age.2.prob,
demographics.BLACK.IDU.age.2.min,
demographics.BLACK.IDU.age.2.max,
demographics.BLACK.IDU.age.3,
demographics.BLACK.IDU.age.3.prob,
demographics.BLACK.IDU.age.3.min,
demographics.BLACK.IDU.age.3.max,
demographics.BLACK.IDU.age.4,
demographics.BLACK.IDU.age.4.prob,
demographics.BLACK.IDU.age.4.min,
demographics.BLACK.IDU.age.4.max,
demographics.BLACK.IDU.age.5,
demographics.BLACK.IDU.age.5.prob,
demographics.BLACK.IDU.age.5.min,
demographics.BLACK.IDU.age.5.max,
demographics.BLACK.MSM,
demographics.BLACK.MSM.prop,
demographics.BLACK.MSM.hiv,
demographics.BLACK.MSM.hiv.init,
demographics.BLACK.MSM.aids,
demographics.BLACK.MSM.aids.init,
demographics.BLACK.MSM.haart,
demographics.BLACK.MSM.haart.init,
demographics.BLACK.MSM.haart.prob,
demographics.BLACK.MSM.haart.adherence,
demographics.BLACK.MSM.haart.discontinue,
demographics.BLACK.MSM.incar,
demographics.BLACK.MSM.incar.init,
demographics.BLACK.MSM.incar.prob,
demographics.BLACK.MSM.tested,
demographics.BLACK.MSM.tested.init,
demographics.BLACK.MSM.tested.prob,
demographics.BLACK.MSM.num_partners,
demographics.BLACK.MSM.num_needle_acts,
demographics.BLACK.MSM.safe_sex,
demographics.BLACK.MSM.needle_sharing,
demographics.BLACK.MSM.prep,
demographics.BLACK.MSM.prep.discontinue,
demographics.BLACK.MSM.prep.adherence,
demographics.BLACK.MSM.prep.coverage,
demographics.BLACK.MSM.high_risk,
demographics.BLACK.MSM.high_risk.init,
demographics.BLACK.MSM.vaccine,
demographics.BLACK.MSM.vaccine.init,
demographics.BLACK.MSM.vaccine.prob,
demographics.BLACK.MSM.vaccine.booster,
demographics.BLACK.MSM.vaccine.booster.interval,
demographics.BLACK.MSM.vaccine.booster.prob,
demographics.BLACK.MSM.assort_mix,
demographics.BLACK.MSM.assort_mix.coefficient,
demographics.BLACK.MSM.age,
demographics.BLACK.MSM.age.1,
demographics.BLACK.MSM.age.1.prob,
demographics.BLACK.MSM.age.1.min,
demographics.BLACK.MSM.age.1.max,
demographics.BLACK.MSM.age.2,
demographics.BLACK.MSM.age.2.prob,
demographics.BLACK.MSM.age.2.min,
demographics.BLACK.MSM.age.2.max,
demographics.BLACK.MSM.age.3,
demographics.BLACK.MSM.age.3.prob,
demographics.BLACK.MSM.age.3.min,
demographics.BLACK.MSM.age.3.max,
demographics.BLACK.MSM.age.4,
demographics.BLACK.MSM.age.4.prob,
demographics.BLACK.MSM.age.4.min,
demographics.BLACK.MSM.age.4.max,
demographics.BLACK.MSM.age.5,
demographics.BLACK.MSM.age.5.prob,
demographics.BLACK.MSM.age.5.min,
demographics.BLACK.MSM.age.5.max,
needle_exchange
needle_exchange.prevalence,safeNeedleExchangePrev
needle_exchange.coverage,treatmentCov
needle_exchange.init_at_pop,initTreatment
