Name,Description,Empirical
TRMP_AIDS_SMSM_1,,0.0043
TRMP_AIDS_SMSM_2,,0.00344
TRMP_AIDS_SMSM_3,,0.00172
TRMP_AIDS_SMSM_4,,0.00086
TRMP_AIDS_SMSM_5,,0.000086
TRMP_AIDS_S_0,,0.0043
TRMP_AIDS_S_1,,0.0043
TRMP_AIDS_S_2,,0.00344
TRMP_AIDS_S_3,,0.00172
TRMP_AIDS_S_4,,0.00086
TRMP_AIDS_S_5,,0.000086
TRMP_ACUTE_SMSM_0,,0.0215
TRMP_ACUTE_SMSM_1,,0.0215
TRMP_ACUTE_SMSM_2,,0.0172
TRMP_ACUTE_SMSM_3,,0.0086
TRMP_ACUTE_SMSM_4,,0.0043
TRMP_ACUTE_SMSM_5,,0.00043
TRMP_ACUTE_S_0,,0.0043
TRMP_ACUTE_S_1,,0.0043
TRMP_ACUTE_S_2,,0.00344
TRMP_ACUTE_S_3,,0.00172
TRMP_ACUTE_S_4,,0.00086
TRMP_ACUTE_S_5,,0.000086
D_IDU_NHIV,,0.00125
D_IDU_THIV,,0.001666666
D_IDU_PHIV,,0.008333333
D_IDU_AIDS,,0.026666667
D_NIDU_NHIV,,0.000583333
D_NIDU_THIV,,0.001
D_NIDU_PHIV,,0.003333333
D_NIDU_AIDS,,0.006666667
D_ND_NHIV,,0.000416667
D_ND_THIV,,0.001666667
D_ND_PHIV,,0.003333333
D_ND_AIDS,,0.006666667
PAIDS_IDU_0,,0.013916667
PAIDS_IDU_1,,0.013916667
PAIDS_IDU_2,,0.010916667
PAIDS_IDU_3,,0.008833333
PAIDS_IDU_4,,0.006917
PAIDS_IDU_5,,0.002
PAIDS_EE_0,,0.005
PAIDS_EE_1,,0.005
PAIDS_EE_2,,0.003916667
PAIDS_EE_3,,0.003166667
PAIDS_EE_4,,0.00025
PAIDS_EE_5,,0.000833333
USP_MSM_IDU_UHIV_P1,,0.75
USP_MSM_NIDU_UHIV_P1,,0.55
USP_MSM_ND_UHIV_P1,,0.4
USP_HM_IDU_UHIV_P1,,0.75
USP_HM_NIDU_UHIV_P1,,0.85
USP_HM_ND_UHIV_P1,,0.7
USP_FM_IDU_UHIV_P1,,0.75
USP_FM_NIDU_UHIV_P1,,0.85
USP_FM_ND_UHIV_P1,,0.7
USP_WSW_IDU_UHIV_P1,,0.75
USP_WSW_NIDU_UHIV_P1,,0.85
USP_WSW_ND_UHIV_P1,,0.75
USP_MSM_IDU_PHIV_P1,,0.67
USP_MSM_NIDU_PHIV_P1,,0.55
USP_MSM_ND_PHIV_P1,,0.4
USP_HM_IDU_PHIV_P1,,0.45
USP_HM_NIDU_PHIV_P1,,0.85
USP_HM_ND_PHIV_P1,,0.35
USP_FM_IDU_PHIV_P1,,0.45
USP_FM_NIDU_PHIV_P1,,0.85
USP_FM_ND_PHIV_P1,,0.35
USP_WSW_IDU_PHIV_P1,,0.45
USP_WSW_NIDU_PHIV_P1,,0.85
USP_WSW_ND_PHIV_P1,,0.45
USP_MSM_IDU_UHIV_P2,,0.75
USP_MSM_NIDU_UHIV_P2,,0.55
USP_MSM_ND_UHIV_P2,,0.4
USP_HM_IDU_UHIV_P2,,0.75
USP_HM_NIDU_UHIV_P2,,0.85
USP_HM_ND_UHIV_P2,,0.7
USP_FM_IDU_UHIV_P2,,0.75
USP_FM_NIDU_UHIV_P2,,0.85
USP_FM_ND_UHIV_P2,,0.7
USP_WSW_IDU_UHIV_P2,,0.75
USP_WSW_NIDU_UHIV_P2,,0.85
USP_WSW_ND_UHIV_P2,,0.75
USP_MSM_IDU_PHIV_P2,,0.67
USP_MSM_NIDU_PHIV_P2,,0.55
USP_MSM_ND_PHIV_P2,,0.4
USP_HM_IDU_PHIV_P2,,0.45
USP_HM_NIDU_PHIV_P2,,0.85
USP_HM_ND_PHIV_P2,,0.35
USP_FM_IDU_PHIV_P2,,0.45
USP_FM_NIDU_PHIV_P2,,0.85
USP_FM_ND_PHIV_P2,,0.35
USP_WSW_IDU_PHIV_P2,,0.45
USP_WSW_NIDU_PHIV_P2,,0.85
USP_WSW_ND_PHIV_P2,,0.45
MEAN_N_ACTS,,2
MEAN_SMSM_ACTS,,2
MEAN_S_ACTS,,5
